CLASS,DIT,NOC,MPC,RFC,LCOM,DAC,WMC,NOM,SIZE2,SIZE1,CHANGE
ACTION,1,3,4,14,5,1,3,7,9,37,14
ALERT,3,0,6,20,6,2,5,7,9,94,18
BD,2,0,1,12,4,1,1,6,7,26,2
CANCLE,2,0,1,2,1,0,1,1,1,4,2
CONTEXT,1,0,1,21,12,8,0,18,26,60,10
DATA,1,8,1,7,3,1,0,4,5,12,16
DIALOG,3,1,2,12,6,1,0,6,7,26,16
DICTI,2,0,1,10,7,1,9,7,8,59,18
DONE,2,0,1,2,1,0,1,1,1,4,2
ER,3,0,9,24,5,1,5,5,6,81,16
FD,2,0,1,12,4,1,1,6,7,26,2
FR,3,0,3,17,6,3,3,12,15,74,48
GR,1,4,10,67,6,21,23,40,61,194,205
HV,3,0,9,30,9,0,16,9,9,143,30
IL,3,0,4,12,6,0,2,6,6,79,30
ID,2,0,1,12,4,1,1,6,7,26,2
IR,3,0,3,9,5,0,3,5,5,33,12
LI,2,0,3,17,9,2,12,9,11,83,50
LD,2,0,3,46,26,2,30,31,33,283,26
MT,3,0,7,29,7,3,8,13,16,90,39
ND,4,0,4,10,4,0,0,4,6,61,15
OB,0,6,1,12,8,3,8,10,13,71,289
OR,3,0,1,12,4,1,1,6,7,34,2
PM,3,0,2,9,4,0,0,4,4,26,18
PW,2,4,6,29,6,2,9,11,13,86,26
QU,2,0,1,2,1,0,1,1,1,6,2
RA,2,1,1,15,5,2,3,9,11,44,2
RE,2,0,3,11,5,0,7,5,5,45,48
SEL,3,0,9,25,7,3,8,10,14,131,34
SCR,1,0,11,46,13,5,37,20,26,296,93
STR,2,0,1,11,5,1,1,7,8,27,2
STRR,2,6,5,40,13,6,44,20,26,316,168
TBR,3,0,6,17,6,0,10,6,6,76,30
TREE,2,0,4,54,6,2,45,32,34,338,17
UIMS,0,0,6,32,7,2,10,14,18,84,27
VV,3,0,9,30,9,0,16,9,9,142,30
V,2,3,12,101,31,5,69,39,44,439,253
WIN,1,1,10,57,20,13,41,32,45,419,192
YBR,3,0,6,17,6,0,10,6,6,76,20
